size, OA, collisions, resolution ops, search ops, CHAIN, collisions, resolution ops, search ops
5147,,2632,281934,14.880166540499621,,1912,0,0.589894019682059
8147,,1691,5718,0.7956093868281605,,1353,0,0.38588190764572294
11147,,1262,2685,0.3941332323996972,,1044,0,0.2685465556396669
14147,,2980,6045,0.9865632096896291,,2788,0,1.1214610143830432
17147,,835,1316,0.2070779712339137,,729,0,0.17157456472369417
20147,,700,986,0.15340651021953067,,615,0,0.15658591975775926
23147,,680,1026,0.16718395155185464,,590,0,0.14454958364875095
